Frequency,Nominal,Min,Max
2950,-14.140898933326188,-15.226738412589508,-13.098618456633933
3000,-13.842928240295445,-14.929471885040943,-12.799881105239173
3050,-13.549680674234818,-14.63694080027981,-12.505853403824279
3100,-13.260999165682708,-14.34898811338952,-12.21637825264783
3150,-12.976734177910803,-14.06546431263353,-11.931306084143982
3200,-12.696743232240568,-13.786226944773993,-11.650494388236059
3300,-12.149046248875685,-13.240074393434536,-11.101115067464761
3400,-11.616893719545939,-12.709516175913523,-10.56722553177929
3500,-11.099359276213885,-12.193626144080302,-10.047899141462992
3600,-10.595594741619125,-11.691556347977501,-9.542287438305907
3700,-10.10482155382445,-11.202528460443798,-9.049611570043556
3900,-9.159439422978817,-10.260789592373367,-8.100256333677038
4000,-8.703559228278557,-9.80680786783063,-7.6423050853590615
4100,-8.25811727956602,-9.36331596650364,-7.194735313751954
4200,-7.822588872376458,-8.929789457312417,-6.757021975426238
4320,-7.312356260709219,-8.42202796279664,-6.244091571306031
4450,-6.774020301749618,-7.886454344563153,-5.702738912388624
4580,-6.249792474630947,-7.3650782110123645,-5.175395730357258
4750,-5.584173532534216,-6.703324370218158,-4.505552585546022
4880,-5.089433972898788,-6.211645354377273,-4.007466708028326
5000,-4.643060312998945,-5.768178192949504,-3.5579139947677967
5150,-4.098229653655874,-5.227091462419028,-3.0089866500772082
5300,-3.5671554698362256,-4.699885461899279,-2.4736778411904816
5500,-2.8790331868950485,-4.017116230060404,-1.7796920841799229
5650,-2.3769497302345224,-3.519195874943173,-1.2730459047557827
5800,-1.8861087142375297,-3.032646608812657,-0.7774987299132686
6000,-1.2480571591673693,-2.4005199757569153,-0.13294607690691865
6150,-0.7810714825507266,-1.9381318561076362,0.3390875035465847
6300,-0.3233956030168638,-1.4851871303492965,0.8019609372059006
6450,0.1254638867452349,-1.0411939903666179,1.256169644921946
6600,0.5659670515552708,-0.6056940257179315,1.7021757772073585
6750,0.9985436351215133,-0.17825920360927477,2.140411237565191
6880,1.3673430885797389,0.18597061019764136,2.5142428904502307
7000,1.7029706526570274,0.5172854663596694,2.8546222897928155
7150,2.1163080229758777,0.9251027686676887,3.2740454397323786
7320,2.5768322963834436,1.379195156699668,3.7416659227520492
7500,3.0557623271612306,1.8511082404864423,4.228343995317241
7650,3.448411490896654,2.23774499577127,4.627637262652123
7800,3.835487047456737,2.6186558981688943,5.021530206055211
8000,4.343371579054621,3.1180802195823976,5.538779047890706
8200,4.842401733486456,3.6083700960973446,6.047493597462001
8400,5.33312453619299,4.090066863259747,6.548228172909315
8600,5.816050942109365,4.563675544129385,7.0415013478655375
8800,6.291659261469666,5.029668266099297,7.527799390344957
9000,6.760398204674089,5.488487296381841,8.007579321270363
9200,7.2226895966414215,5.940547746575897,8.48127164306583
9400,7.6789308034786,6.386239989140532,8.94928278114776
9600,8.12949690798604,6.825931822289436,9.411997274828227
9800,8.574742665245424,7.259970414550271,9.869779748865673
10000,9.01500426511465,7.688684055814896,10.322976692468167
10200,9.450600924732502,8.112383737987104,10.771918068821776
10400,9.88183633098901,8.531364585193087,11.216918775057728
10600,10.308999950248499,8.945907150855998,11.658279969887893
10800,10.732368220339122,9.356278596669693,12.096290283846363
11000,11.15220563788008,9.76273376657185,12.531226925109953
11200,11.568765752350476,10.165516167159618,12.963356692176342
11500,12.187991128616583,10.763310506655952,13.606848956571117
11800,12.801172177081659,11.354110077808022,14.245435588020117
12000,13.20696999526039,11.744439594459958,14.668828656732803
12200,13.610623472288664,12.132172745146345,15.09062275607456
12500,14.212529052528673,12.709322420641264,15.720798869159491
12800,14.810735192645732,13.28168209451194,16.348600295542155
13000,15.207801181288062,13.660887926187456,16.766163406376403
13200,15.603691999210561,14.038398167867363,17.18318753462708
13500,16.195717457665634,14.60184350719504,17.80815007735645
13800,16.786095246928163,15.162382151721921,18.43301261680365
14000,17.179050365540586,15.534717298370282,18.84985372932107
14200,17.57169712713854,15.906142110170634,19.267129679163524
14500,18.160449532954743,16.46189354452425,19.894269936061722
14800,18.749427238587543,17.01641277713595,20.523439138921763
15000,19.142470773649777,17.385642264164115,20.94431881904395
15500,20.127598551525345,18.30814398364056,22.002857051715953
16000,21.118261223319994,19.231509924855352,23.07267410846016
16500,22.11683743498164,20.15779761671579,24.156465895187175
17000,23.125650687887862,21.08902141716266,25.256774471401464
17500,24.14694711935622,22.02715681162836,26.375875816162235
18000,25.182848619709493,22.974136503977984,27.515587369364898
18500,26.235269055261554,23.9318351086795,28.67695207336446
19000,27.30577494140698,24.902037505365954,29.859734997008353
19500,28.395362673539974,25.886383374180486,31.061644116845297
20000,29.5041118585723,26.886276754247476,32.27716858245151
20500,30.63065908809221,27.902744257806393,33.49594711417896
21000,31.771423088996084,28.936218481899143,34.70071069539144
21500,32.91951436035544,29.98621425201123,35.865222041108126
22000,34.0633134636795,31.050855992335546,36.95338953696029
22500,35.184866635437814,32.1262094812731,37.92167182376811
23000,36.25861238898921,33.20538253408632,38.76393501918222
23500,37.25153366481288,34.27741201248975,39.47314250888589
24000,38.126310362051086,35.32609159331709,39.982886728019075
24500,38.84851807853736,36.329161964115194,40.46495859394004
25000,39.39645999386135,37.25866334628718,40.976975095632724
25500,39.76892718793345,37.27228862749514,41.45161235292248
26000,39.98586945138988,37.1220050281696,41.99331156054089
27000,40.094310673617755,36.77857441470839,42.93729033924124
27500,40.05931936728713,36.6226311509053,43.21270809899331
28000,40.00409799371842,36.49094357536627,43.44467119343558
28500,39.94821450250922,36.388415182174235,43.59200246694094
29000,39.904240369664514,36.31733629990171,43.67602027274081
29500,39.87920426805055,36.278289010371935,43.71636487521766
30000,39.87587700041284,36.270716540547106,43.72443821239743
30500,39.89369198116022,36.29325229832516,43.70349919591108
31000,39.92930453067749,36.34387952269804,43.649710655720796
31500,39.97687237240839,36.41996956668312,43.55376329728023
32000,40.028172150920994,36.51823015661966,43.40302817001997
33000,40.09786192157993,36.76400625411111,42.96940155591862
34000,40.03342247772117,37.03601138927421,42.257080502357255
35000,39.726142931436755,37.26836120317326,41.431077929416595
36000,39.11210550091687,36.849382065303324,40.72360138611326
37000,38.208007048324895,35.536614402363575,40.079778038058215
39000,35.87373630696548,32.91313525042959,38.55207044754202
40000,34.62102249132706,31.67827006078066,37.55594526733119
41000,33.387894821730214,30.512282791561802,36.44160955936346
42000,32.201403093307285,29.41622615704898,35.271374594759465
43200,30.85546557499907,28.188963450693876,33.866717991101524
44500,29.49811062965602,26.95871589529611,32.40002103570424
45800,28.241350925949806,25.820644926361837,31.018235243611365
47500,26.73544774740265,24.453650487712846,29.350439828009755
48800,25.677044509107773,23.488993304664408,28.17728596365044
50000,24.763175790938238,22.652833966771627,27.16633667426059
51500,23.696291025661296,21.672470822619356,25.99012966432586
53000,22.70334801860612,20.755762371486753,24.900308321194345
55000,21.47897569177596,19.619543173569593,23.56374787963552
56500,20.625682330809205,18.823850286009876,22.63724606834977
58000,19.821162102073306,18.070780595662896,21.76748925035378
60000,18.81541053603961,17.12551957290491,20.68530277773233
61500,18.105646984191107,16.45594414441358,19.924950443203247
63000,17.42994961835799,15.816635764226037,19.203597649177055
64500,16.785149525637447,15.20490447752557,18.517443085981064
66000,16.168488343321464,14.618397570613064,17.863191993864234
67500,15.577552858305129,14.055046930805924,17.237975004260502
68800,15.084571600382475,13.584123242424226,16.717656892118416
70000,14.644179824676511,13.162720762027922,16.25378652782346
71500,14.112131004173303,12.652736745482823,15.694523157905731
73200,13.532112011892714,12.095710577363295,15.08622357301428
75000,12.942465316919215,11.528340765378486,14.469255892384325
76500,12.468862661764991,11.07185585614908,13.974714088539223
78000,12.010266907088383,10.629198280611647,13.496665969022688
80000,11.42049255942338,10.059029594493257,12.883023002493259
82000,10.853643289719578,9.510112146061122,12.29440276412818
84000,10.307915478339906,8.980836239143885,11.728753058785726
86000,9.78171137104981,8.469770226329395,11.1842640440031
88000,9.273609186375978,7.975635339781642,10.659332013397847
90000,8.78233839360822,7.497284774943345,10.152529599782742
92000,8.306759136912117,7.03368620148702,9.662581099823488
94000,7.845845007519038,6.583907055252208,9.18834191361072
96000,7.398668537662876,6.147102101491164,8.72878131281099
98000,6.964388921126642,5.722502864585523,8.282967918737993
100000,6.542241566270624,5.309408600488307,7.850057400241428
102000,6.13152916575296,4.90717855132799,7.429282000577457
104000,5.731614028339557,4.515225271183013,7.01994157960709
106000,5.341911466309531,4.133008851185284,6.621395918082012
108000,4.9618840700335545,3.760031903227036,6.233058078371055
110000,4.591036731614766,3.3958351864232745,5.8543886537068
112000,4.228912303757962,3.039993780487151,5.484890768114859
115000,3.701164346433439,2.5210438245570583,4.946846637599444
118000,3.19079778756284,2.0187992362748908,4.427007643272817
120000,2.85962899829183,1.6927067380638734,4.089935921826767
122000,2.535348667524655,1.3732550938228594,3.7600540469526136
125000,2.0612037985893745,0.9059274813765643,3.27802496958883
128000,1.6009814658244128,0.45205858174247515,2.81048272838762
130000,1.3014872007756688,0.15656566456928267,2.506393531667886
132000,1.007581573061118,-0.1335113510545902,2.2081031285281574
135000,0.5767366064814401,-0.5589125281354737,1.7710449941631377
138000,0.1573154636306272,-0.9732182310004233,1.3458103698023116
140000,-0.11625807744833253,-1.2435485381669116,1.068564624095711
142000,-0.3851986772176714,-1.5093698257146833,0.7961028141754473
145000,-0.7802718910424182,-1.899979883224707,0.3960109110988187
148000,-1.1657874853299206,-2.2812706687128412,0.0057674773085220855
150000,-1.4177208981434863,-2.5305095225619576,-0.24916883097044842
155000,-2.0307222736410178,-3.13716087554777,-0.8692048125173834
160000,-2.621142270558093,-3.7217219159258725,-1.4660575034142216
165000,-3.1906348882390976,-4.285780849021069,-2.041459972480077
170000,-3.7406733263212075,-4.830755232887167,-2.5969521970220732
175000,-4.272575784042979,-5.357915941471772,-3.1339091041080813
180000,-4.787526784981742,-5.868407031887829,-3.653563670821069
185000,-5.286594929671857,-6.363262331033329,-4.157026094342645
190000,-5.770747773055022,-6.843419373374699,-4.645299809522826
195000,-6.2408643699608,-7.309731183967241,-5.119294957829562
200000,-6.697745915619949,-7.7629762963250295,-5.579839780754377
205000,-7.142124819571688,-8.203867314799759,-6.027690311316796
210000,-7.574672483107329,-8.633058269401406,-6.463538661048948
215000,-7.996005997455766,-9.05115096295077,-6.8880201408574315
220000,-8.406693938517137,-9.458700472774758,-7.301719408175443
225000,-8.807261401336996,-9.85621993939037,-7.705175796699568
230000,-9.19819439164186,-10.244184750950303,-8.098887956436153
235000,-9.579943671099064,-10.623036213273387,-8.483317909032179
240000,-9.952928136367444,-10.99318478002213,-8.85889460513554
245000,-10.317537798591946,-11.355012905227358,-9.226017055833795
250000,-10.674136419095264,-11.708877570291978,-9.58505709830626
255000,-11.023063848113745,-12.055112529362027,-9.936361846113012
260000,-11.36463810611237,-12.394030310170859,-10.280255866587773
270000,-12.02690099100607,-13.051068856582333,-10.94700869974362
275000,-12.348132273772862,-13.369723727954412,-11.270420373269856
280000,-12.66309852882451,-13.682132365882602,-11.587529989802224
285000,-12.972032925042962,-13.988524584915243,-11.898574730128296
290000,-13.275155452407287,-14.28911732067532,-12.203778241193291
295000,-13.572673910127293,-14.584115587118497,-12.503351660947411
300000,-13.864784802977026,-14.873713345658325,-12.797494547017006
305000,-14.151674155949204,-15.15809429578859,-13.086395719908468
